area,rooms_num,market,advertiser_type,lift,price,building_ownership,construction_status,floor,outdoor,car,heating,build_year,building_type,windows_type,media_types,security_types,extras_types,building_material,equipment_types,street,neighbourhood
46,2,locuință utilizată,agenție,False,135000,,,,,,,0,,,,,,,,,Marasti
57,2,locuință nouă,agenție,True,109674,drept de proprietate,în construcție,5/9,"('balcon', 'terasă')",garaj,centrală pe gaz,2023,bloc,plastic,"('cablu tv', 'internet')","('ușă metalică', 'curte', 'interfon')","('debara',)",cărămidă,,,
80,4,locuință utilizată,agenție,False,257000,,,2/x,,,,1997,,,,,,,,,Marasti
78,3,locuință utilizată,agenție,False,285000,drept de proprietate,gata de utilizare,1/2,"('balcon', 'grădină')",,,0,vilă,,"('cablu tv', 'internet', 'telefon')","('ușă metalică', 'curte', 'interfon')","('beci', 'bucătărie separată', 'debara')",cărămidă,"('mașină de spălat vasele', 'frigider', 'mobilier', 'cuptor', 'plită', 'TV', 'mașină de spălat')",,Centru
46,2,locuință nouă,agenție,False,115000,,gata de utilizare,0/2,,,centralizată,2008,,,,,,,,,Buna Ziua
75,3,locuință nouă,agenție,False,180000,,gata de utilizare,1/3,"('balcon',)",,centralizată,2005,,,,,,,,,Manastur
42,2,locuință nouă,agenție,True,135000,,gata de utilizare,3/6,"('balcon',)",,centralizată,2016,,,,,"('aer condiționat',)",,,,Sopor
50,2,locuință nouă,agenție,False,125000,,gata de utilizare,4/4,"('balcon',)",,centralizată,1983,,,,,,,,,Grigorescu
68,2,locuință utilizată,agenție,False,140000,,,3/x,,,,0,,,,,,,,,Marasti
53,2,locuință nouă,agenție,True,139000,,gata de utilizare,5/6,"('balcon',)",,centralizată,2020,,,,,"('aer condiționat',)",,,,Dambul Rotund
53,2,locuință nouă,agenție,False,135000,,gata de utilizare,3/5,,,,2013,,,,,,,,Bulevardul Muncii,Iris
56,2,locuință nouă,agenție,True,249000,,,1/4,,,centralizată,2020,,,,,,,,,Marasti
70,3,locuință nouă,agenție,False,97500,,,1/3,"('balcon',)",,centralizată,2023,,,,,,,,,Dambul Rotund
39,2,locuință nouă,agenție,True,115000,,gata de utilizare,5/10,"('balcon',)",,,1977,,,,,,,,,Manastur
40,2,locuință utilizată,agenție,False,102500,,,4/x,,,,0,,,,,,,,Strada Almasului,Manastur
51,2,locuință nouă,agenție,True,159051,,gata de utilizare,4/6,"('balcon',)",,centrală pe gaz,2023,bloc,plastic,,"('ușă metalică', 'interfon')",,,,,Sopor
38,1,locuință nouă,agenție,True,112317,,gata de utilizare,4/6,"('balcon',)",,centrală pe gaz,2023,,plastic,,"('ușă metalică', 'interfon')",,,,,Sopor
24,1,locuință nouă,agenție,True,80000,,gata de utilizare,2/8,"('balcon',)",,centralizată,1980,,,,,,,,,Grigorescu
69,3,locuință utilizată,agenție,False,199500,,,2/x,,,,0,,,,,,,,,Marasti
40,2,locuință nouă,agenție,True,108000,,gata de utilizare,10/10,"('balcon',)",,centralizată,1980,,,,,,,,,Manastur
56,2,locuință nouă,agenție,False,164000,,gata de utilizare,5/8,,,centralizată,2016,,,,,"('aer condiționat',)",,,,Buna Ziua
184,5,locuință nouă,agenție,False,360000,,,3/x,,,,0,,,,,,,,Strada Mircea Eliade,Zorilor
64,3,locuință nouă,agenție,True,155000,,gata de utilizare,10/10,"('balcon',)",,centralizată,1989,,,,,,,,,Manastur
25,1,locuință utilizată,agenție,False,70000,,,1/4,"('balcon',)",,,1980,,,,,,,,,Intre Lacuri
58,2,locuință utilizată,agenție,True,173000,,,2/x,"('balcon',)",,,2023,,,,"('ușă metalică', 'supraveghere video')",,,,Strada Tasnad,Manastur
39,1,locuință utilizată,agenție,False,145000,,gata de utilizare,1/3,,,centralizată,2000,,,,,,,,,Marasti
76,3,locuință nouă,agenție,True,180000,,gata de utilizare,8/8,"('balcon',)",,centralizată,1985,,,,,"('aer condiționat',)",,,Strada Nasaud,Marasti
22,1,locuință utilizată,agenție,False,70000,,,2/4,,,,1980,,,,,,,,,Gheorgheni
22,1,locuință utilizată,agenție,False,68000,,,3/4,"('balcon',)",,centralizată,1980,,,,,,,,,Intre Lacuri
25,1,locuință nouă,agenție,False,68500,,gata de utilizare,4/4,"('balcon',)",,centralizată,1978,,,,,,,,,Manastur
60,3,locuință nouă,agenție,True,175000,,gata de utilizare,3/10,"('balcon',)",,centrală pe gaz,2017,bloc,plastic,,"('ușă metalică', 'interfon')",,cărămidă,"('frigider', 'mobilier', 'cuptor', 'plită', 'mașină de spălat')",,Iris
70,3,locuință nouă,agenție,False,178000,,,3/x,,,,0,,,,,,,,Strada Macesului,Buna Ziua
40,1,locuință utilizată,agenție,True,118000,,gata de utilizare,6/8,"('balcon',)",,centrală pe gaz,1983,bloc,plastic,,"('ușă metalică', 'interfon')","('bucătărie separată',)",,,,Gheorgheni
62,3,locuință utilizată,agenție,False,160000,,,7/x,,,,0,,,,,,,,Strada Trascaului,Zorilor
55,2,locuință utilizată,agenție,False,150000,,,4/x,,,,0,,,,,,,,Strada Lunii,Zorilor
46,2,locuință nouă,agenție,False,112000,,,2/x,,,,0,,,,,,,,Strada Teleorman,Intre Lacuri
53,2,locuință nouă,agenție,False,127000,,,2/x,,,,0,,,,,,,,Strada Teleorman,Intre Lacuri
43,2,locuință utilizată,agenție,False,115000,,,4/x,,,,0,,,,,,,,Strada Izlazului,Manastur
83,3,locuință nouă,agenție,True,279500,,,3/6,"('balcon',)",,centralizată,2022,,,,,"('aer condiționat',)",,,Strada Alexandru Vaida Voievod,Gheorgheni
60,3,locuință nouă,agenție,False,220000,,,5/x,,,,0,,,,,,,,Strada Bucuresti,Marasti
22,1,locuință nouă,agenție,False,105000,,,4/x,,,,0,,,,,,,,Strada Intre Lacuri,Intre Lacuri
72,3,locuință utilizată,agenție,False,185000,,,1/8,"('balcon',)",,centralizată,1989,,,,,,,,Strada Nasaud,Marasti
63,2,locuință nouă,agenție,False,159000,,gata de utilizare,1/4,,,,2021,,,,,,,,Bulevardul Muncii,Iris
80,3,locuință utilizată,agenție,False,220000,,,9/10,"('balcon',)",,centralizată,1998,,,,,,,,,Manastur
76,4,locuință utilizată,agenție,False,200000,,gata de utilizare,1/8,"('balcon',)",,centralizată,1980,,,,,,,,,Intre Lacuri
83,4,locuință utilizată,agenție,False,180000,,,2/4,"('balcon',)",,centralizată,1980,,,,,"('aer condiționat',)",,,,Manastur
70,4,locuință utilizată,agenție,False,210000,,gata de utilizare,3/4,"('balcon',)",,,1980,,,,,,,,,Sopor
80,4,locuință utilizată,agenție,False,225000,,,2/4,"('balcon',)",,centralizată,1990,,,,,,,,,Plopilor
76,4,locuință utilizată,agenție,False,190000,,,3/4,"('balcon',)",,,1980,,,,,,,,,Manastur
65,3,locuință nouă,agenție,False,225000,,gata de utilizare,2/4,,,centralizată,1970,,,,,,,,,Gheorgheni
66,4,locuință utilizată,agenție,True,135000,,,3/10,"('balcon',)",,centralizată,1980,,,,,,,,,Manastur
107,3,locuință nouă,agenție,False,279000,,necesita renovare,10/24,"('balcon',)",,,2023,clădire de apartamente,,,,,,,,Manastur
80,4,locuință utilizată,agenție,False,178000,,,1/4,,,centralizată,1980,,,,,,,,,Marasti
79,4,locuință utilizată,agenție,False,200000,,,1/8,"('balcon',)",,centralizată,1980,,,,,,,,,Manastur
87,3,locuință utilizată,agenție,True,210000,,,5/5,,,centralizată,0,,,,,,,,,Gruia
53,2,locuință nouă,agenție,True,139000,,gata de utilizare,2/5,"('balcon',)",,centralizată,2020,,,,,,,,,Dambul Rotund
68,3,locuință utilizată,agenție,False,135000,,,0/4,,,centralizată,1980,,,,,,,,,Manastur
67,3,locuință nouă,agenție,False,220000,,,8/x,,,,0,,,,,,,,Strada General Nicolae Dascalescu,Gheorgheni
24,1,locuință nouă,agenție,False,55000,,gata de utilizare,0/4,,,centralizată,2007,,,"('internet',)",,,,"('mobilier',)",Aleea Zaharia Stancu,Buna Ziua
39,1,locuință nouă,agenție,False,118000,,,7/8,"('balcon',)",,centralizată,0,,,,,,,,,Gheorgheni
61,2,locuință nouă,agenție,True,219000,,,9/12,"('balcon',)",,centralizată,2022,,,,,,,,,Manastur
30,2,locuință nouă,agenție,False,90000,,gata de utilizare,3/x,,,centralizată,1997,,,,,,,,,Gheorgheni
56,2,locuință nouă,agenție,True,176000,,,5/8,,,centralizată,2017,,,,,"('aer condiționat',)",,,,Buna Ziua
53,1,locuință nouă,agenție,False,139000,,necesita renovare,7/24,"('balcon',)",,,2023,clădire de apartamente,,"('internet',)",,,,,,Manastur
52,2,locuință utilizată,agenție,False,112000,,,3/x,"('balcon',)",,,0,,,,,,,,,Marasti
50,2,locuință nouă,agenție,False,135000,,,4/x,"('balcon',)",,,2010,,,,,,,,,Marasti
46,2,locuință nouă,agenție,False,119500,,,2/4,,,centralizată,0,,,,,,,,,Centru
100,3,locuință utilizată,agenție,False,235000,,,0/x,,,,1900,,,,,,,,,Marasti
63,3,locuință utilizată,agenție,False,154000,,,0/x,"('balcon',)",,,0,,,,,,,,,Marasti
77,3,locuință nouă,agenție,False,256000,,,1/x,"('balcon',)",,,0,,,,,,,,,Marasti
26,1,locuință utilizată,agenție,False,66000,,,0/x,,,,1980,,,,,,,,,Marasti
45,2,locuință utilizată,agenție,False,130000,,,0/x,,,,0,,,,,,,,,Marasti
64,3,locuință utilizată,agenție,False,169999,,,6/x,"('balcon',)",,,0,,,,,,,,,Marasti
64,3,locuință utilizată,agenție,False,152000,,,0/x,"('balcon',)",,,0,,,,,,,,,Marasti
68,3,locuință utilizată,agenție,False,165000,,,2/x,"('balcon',)",,,0,,,,,,,,,Marasti
82,3,locuință nouă,privat,True,250000,,gata de utilizare,5/6,,,,2024,bloc,,"('internet',)","('interfon', 'supraveghere video')",,,,Strada Macesului,Becas
81,3,locuință utilizată,agenție,False,349000,,,1/x,,,,0,,,,,,,,,Marasti
31,1,locuință utilizată,agenție,False,131000,,,0/x,"('balcon',)",,,0,,,,,,,,,Marasti
50,2,locuință utilizată,agenție,False,149500,,,3/x,"('balcon',)",,,0,,,,,,,,,Marasti
53,2,locuință nouă,agenție,True,139000,,gata de utilizare,2/6,"('balcon',)",,centralizată,2020,,,,,,,,,Dambul Rotund
